comercio;giro_comercio;id
CINEPOLIS;MERCADEO DIRECTO - NO CLASIFICADO;45
SPOTIFY;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;46
CRUNCHYROLL;SERVICIOS PROFESIONALES - NO CLASIFICADOS;47
LIVERPOOL;MERCADEO DIRECTO - NO CLASIFICADO;48
NAYAX;AGREGADOR;49
CARLS JR;COMIDA RAPIDA;50
MERCADO PAGO;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);51
TELCEL;AGREGADOR;52
WALMART;4121;53
TOTALPLAY;MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO;54
TELCEL;MERCADO DIRECTO - VENTAS POR CATALOGO;55
TELMEX;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;56
SAMS CLUB;CLUBES DE MAYORISTA;57
NETFLIX;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;58
MELIMAS;AGREGADOR;59
MICROSOFT;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);60
TOTALPLAY;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;61
MAX;SERVICIOS PROFESIONALES - NO CLASIFICADOS;62
TULOTERO;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);63
TELCEL;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;64
BAE;AUTOSERVICIOS Y SUPERMERCADOS;65
DIDI RIDES;LIMOSINAS| (TAXIS);66
SUPERCENTER;4121;67
AMAZON PRIME;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);68
GOOGLE YOUTUBEPREMIUM;RENTA DE VIDEOS  (VIDEOS)|;69
ALLIANZ MEXICO;ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS;70
TOTAL PLAY;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;71
CINEPOLIS;AGREGADOR;72
ITUNES;AGREGADOR;73
SMART;AUTOSERVICIOS Y SUPERMERCADOS;74
ALSUPER;AUTOSERVICIOS Y SUPERMERCADOS;75
UBRPAGOSMEX;AGREGADOR;76
GOOGLE YOUTUBEPREMIUM;BIENES DIGITALES APLICACIONES;77
PARCO;AGREGADOR;78
GOOGLE YOUTUBEPREMIUM;MEDIOS DE COMUNICACION DIGITAL LIBROS PELICULAS MU;79
FACEBOOK;AGREGADOR;80
7ELEVEN;TIENDAS DE CONVENIENCIA| MINISUPER;81
PARCO;CUOTA - PUENTES;82
APPLE;RESTAURANTES;83
TEMU;TIENDA DEPARTAMENTAL;84
APPLE;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;85
CHEDRAUI;AUTOSERVICIOS Y SUPERMERCADOS;86
GOOGLE YOUTUBEPREMIUM;PRODUCCION Y DISTRIBUCION DE PELICULAS Y VIDEOS;87
SORIANA;4121;88
COPPEL;TIENDA DEPARTAMENTAL;89
FARMACIAS SIMILARES;DROGUERIAS| (FARMACIAS);90
GOOGLE;AGREGADOR;91
MICROSOFT;AGREGADOR;92
MI ATT;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;93
TEMU;AGREGADOR;94
SUPERAMA;4121;95
ROTOPLAS;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;96
NETFLIX;MERCADEO DIRECTO - NO CLASIFICADO;97
ROTOPLAS;EQUIPO - PLOMERIA Y CALEFACCION;98
WAL-MART;TIENDA DEPARTAMENTAL;99
MERCADOPAGO;MERCADO DIRECTO - VENTAS POR CATALOGO;100
PARCO;ESTACIONAMIENTOS/PENSIONES;101
CFE;PAGO DE IMPUESTOS;102
SUPERCENTER;TIENDAS - COSMETICOS  PERFUMERIA;103
TOTAL PASS;CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE;104
ALIEXPRESS;TIENDA DEPARTAMENTAL;105
CHEDRAUI;4121;106
SUPERAMA;AUTOSERVICIOS Y SUPERMERCADOS;107
CALIENTE;CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES);108
UBER EATS;LIMOSINAS| (TAXIS);109
WALMART;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;110
DIDI;AGREGADOR;111
DIDI FOOD;COMIDA RAPIDA;112
CASHI ECOMMERCE;AUTOSERVICIOS Y SUPERMERCADOS;113
DIDIFOOD;COMIDA RAPIDA;114
DIDI RIDES;AGREGADOR;115
CASHI ECOMMERCE;4121;116
MICROSOFT;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;117
MICROSOFT;VENTA DE SOFTWARE PARA COMPUTADORAS;118
RAPPI;SERVICIOS PROFESIONALES - NO CLASIFICADOS;119
GOOGLE ONE;BIENES DIGITALES APLICACIONES;120
WALMART;COMIDA RAPIDA;121
GOOGLE ONE;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;122
APLAZO;AGREGADOR;123
APLAZ;ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS;124
APLAZO;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;125
TELCEL;MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO;126
SOFT RAPPI;COMIDA RAPIDA;127
GOOGLE ONE;VENTA DE SOFTWARE PARA COMPUTADORAS;128
GOOGLE YOUTUBEPREMIUM;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;129
GOOGLE ONE;BIENES DIGITALES JUEGOS;130
GOOGLE;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);131
GOOGLE;SERVICIOS PUBLICITARIOS;132
FACEBOOK;SERVICIOS PUBLICITARIOS;133
GOOGLE;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;134
GOOGLE;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;135
OPENAI;VENTA DE SOFTWARE PARA COMPUTADORAS;136
GOOGLE;BIENES DIGITALES APLICACIONES;137
APPLE;MERCADO DIRECTO - VENTAS POR CATALOGO;138
VIX;AGREGADOR;139
SHEIN;BOUTIQUES ROPA - PARA TODA LA FAMILIA;140
COSTCO GAS;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;141
OXXO GAS;TIENDAS DE CONVENIENCIA| MINISUPER;142
AT&T;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;143
SHEIN;AGREGADOR;144
RAPPIPRO;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;145
SMARTFIT;CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE;146
GOOGLE YOUTUBE;AGREGADOR;147
CABLEYCOMUN;AGREGADOR;148
APPLE;APARATOS ELECTRONICOS PARA EL HOGAR LINEA BLANCA;149
AMAZON;LIBRERIAS;150
DIDI;LIMOSINAS| (TAXIS);151
KUESKI PAY;ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO;152
CHEDRAUI;OPTICAS| LENTES Y ANTEOJOS;153
TELCEL;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);154
CFE;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;155
TEMU;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);156
CANVA;FOTOGRAFIA| ARTE Y ANUNCIOS - COMERCIALES;157
URBANI;BOUTIQUES ROPA - NIOS Y BEBES;158
URBANI;SERVICIOS DE TRANSPORTE -NO CLASIFICADO;159
DIDI;SERVICIOS DE TRANSPORTE -NO CLASIFICADO;160
DIDIFOOD;LIMOSINAS| (TAXIS);161
CARLS JR;RESTAURANTES;162
UNDOSTRES;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;163
DIDI FOOD;LIMOSINAS| (TAXIS);164
MICROSOFT;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;165
FARMACIAS DEL AHORRO;AGREGADOR;166
FARMACIAS SIMILARES;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;167
SMART;4121;168
CRUNCHYROLL;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;169
OXXO;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;170
KUESKI PAY;AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS;171
MELIMAS;MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO;172
DIDI;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;173
WALMART;AGREGADOR;174
TEMU;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;175
SORIANA;TIENDAS - COSMETICOS  PERFUMERIA;176
ALSUPER;4121;177
GOOGLE;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;178
CANVA;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;179
GOOGLE;VENTA DE SOFTWARE PARA COMPUTADORAS;180
TOTALPLAY;AGREGADOR;181
ATT;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;182
BET365;CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES);183
BAE;4121;184
SEARS;TIENDA DEPARTAMENTAL;185
GOOGLE YOUTUBE;BIENES DIGITALES APLICACIONES;186
WAL-MART;AUTOSERVICIOS Y SUPERMERCADOS;187
WALMART;TIENDAS DE DESCUENTO;188
WAL-MART;TIENDAS DE DESCUENTO;189
RENTAMOVISTAR;EQUIPOS DE TELECOMUNICACION|VTA DE TELEFONOS;190
SAMS CLUB;MERCADEO DIRECTO - NO CLASIFICADO;191
PLAYSTATION NETWORK;BIENES DIGITALES JUEGOS;192
APLAZO;AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS;193
APLAZO;ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO;194
HEB;TIENDAS - COSMETICOS  PERFUMERIA;195
STARBUCKS;RESTAURANTES;196
MICROSOFT;BIENES DIGITALES JUEGOS;197
LIVERPOOL;AGREGADOR;198
ATT;MERCADO DIRECTO - VENTAS POR CATALOGO;199
MEGACABLE;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;200
TELEFONICA;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;201
RENTAMOVISTAR;AGREGADOR;202
GOOGLE YOUTUBE;PRODUCCION Y DISTRIBUCION DE PELICULAS Y VIDEOS;203
ADOBE;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;204
UNDOSTRES;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;205
SPOTIFY;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;206
MAX;AGREGADOR;207
CRUNCHYROLL;BIENES DIGITALES APLICACIONES;208
GOOGLE;BIENES DIGITALES JUEGOS;209
GOOGLE YOUTUBE;MEDIOS DE COMUNICACION DIGITAL LIBROS PELICULAS MU;210
GOOGLE ONE;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;211
CANVA;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;212
IZZI;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;213
METROBUS;TRANSPORTE LOCAL URBANO Y SUBURB DE PASAJEROS;214
GOOGLE YOUTUBE;RENTA DE VIDEOS  (VIDEOS)|;215
ALIEXPRESS;TIENDAS DE DESCUENTO;216
UNDOSTRES;SERVICIOS RELACIONES PUBLICAS (SERVICIOS CONSULTOR;217
SMART FIT;CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE;218
CRUNCHYROLL;VENTA DE SOFTWARE PARA COMPUTADORAS;219
SEARS;AGREGADOR;220
ADOBE;AGREGADOR;221
GOOGLE YOUTUBEPREMIUM;LIMOSINAS| (TAXIS);222
WAL-MART;4121;223
ADOBE;VENTA DE SOFTWARE PARA COMPUTADORAS;224
STARBUCKS;BARES|BEBIDAS ALCOHOLICAS|TABERNAS|DISCOTECAS;225
7 ELEVEN;AUTOSERVICIOS Y SUPERMERCADOS;226
GOOGLE AMAZON MOBILE;BIENES DIGITALES JUEGOS;227
GOOGLE AMAZON MOBILE;BIENES DIGITALES APLICACIONES;228
LIVERPOOL;COMIDA RAPIDA;229
TELCEL;EQUIPOS DE TELECOMUNICACION|VTA DE TELEFONOS;230
APLAZ;AGREGADOR;231
OXXO;COMIDA RAPIDA;232
ALIEXPRESS;MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO;233
FACEBOOK;BIENES DIGITALES APLICACIONES;234
GOOGLE YOUTUBEPREMIUM;VENTA DE SOFTWARE PARA COMPUTADORAS;235
CFE;COMIDA RAPIDA;236
UBER;JARDINES BOTANICOS(ZOO| SERVICIOS DE ENTREMIENTO);237
ROKU;MEDIOS DE COMUNICACION DIGITAL LIBROS PELICULAS MU;238
SAMS CLUB;AUTOSERVICIOS Y SUPERMERCADOS;239
SAMS CLUB;4121;240
ALIEXPRESS;DISTRIBUIDORES DE HIELO (FUEGOS ARTIFICIALES)|;241
APPLE;TIENDA DE DISCOS;242
WALMART;DROGUERIAS| (FARMACIAS);243
AMAZON;VENTA DE SOFTWARE PARA COMPUTADORAS;244
GOOGLE AMAZON MOBILE;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;245
CHEDRAUI;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;246
CRUNCHYROLL;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;247
COSTCO;AGREGADOR;248
SEARS;MERCADEO DIRECTO - NO CLASIFICADO;249
WALMART;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;250
MAX;AGENCIAS DE VIAJES OPERADORAS DE VIAJES;251
CHEDRAUI;TIENDAS - COSMETICOS  PERFUMERIA;252
COPPEL;AGREGADOR;253
CHEDRAUI;COMIDA RAPIDA;254
DIDI;COMPAIAS DE - MUDANZAS Y ALMACENAJE |;255
FARMACIAS DEL AHORRO;ALIMENTOS - PROVEEDORES Y DISTRIBUIDORES;256
FARMACIAS DEL AHORRO;RESTAURANTES;257
SPOTIFY;MEDIOS DE COMUNICACION DIGITAL LIBROS PELICULAS MU;258
GOOGLE YOUTUBE;VENTA DE SOFTWARE PARA COMPUTADORAS;259
GOOGLE YOUTUBE;APARATOS ELECTRONICOS PARA EL HOGAR LINEA BLANCA;260
GOOGLE YOUTUBE;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;261
GOOGLE YOUTUBE;ASESORIAS - COMPRA/VENTA BIENES INMUEBLES;262
GOOGLE ONE;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;263
STARBUCKS;PANADERIAS;264
OXXO;AUTOSERVICIOS Y SUPERMERCADOS;265
AMAZON;TIENDAS PARTICIPACION ESTATAL;266
TELCEL;MERCADEO DIRECTO - NO CLASIFICADO;267
ADOBE;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;268
GOOGLE YOUTUBE;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;269
HEB;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;270
TELMEX;EQUIPOS DE TELECOMUNICACION|VTA DE TELEFONOS;271
HEB;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;272
GOOGLE AMAZON MOBILE;VENTA DE SOFTWARE PARA COMPUTADORAS;273
ADOBE;SERVICIOS DE CONSULTA/ENCUESTAS DE INFORMACION;274
STARBUCKS;ALIMENTOS - PROVEEDORES Y DISTRIBUIDORES;275
FARMACIAS SIMILARES;AGREGADOR;276
SORIANA;COMIDA RAPIDA;277
SHEIN;DISTRIBUIDORES DE HIELO (FUEGOS ARTIFICIALES)|;278
UBER EATS;AUTOSERVICIOS Y SUPERMERCADOS;279
WALMART;SALONES DE BELLEZA| (PELUQUERIAS)| (ESTETICAS);280
AMAZON;FERRETERIAS| ACCESORIOS Y EQUIPO;281
SORIANA;ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR;282
CHEDRAUI;DEPORTES Y ACCESORIOS;283
GOOGLE ONE;LIMOSINAS| (TAXIS);284
HEB;DULCERIAS| PASTELERIAS Y CONFITERIAS| SEMILLAS;285
CFE;DEPOSITOS DE CERVEZAS| VINATERIAS| VINOS Y LICORES;286
WALMART;TIENDA DEPARTAMENTAL;287
SHEIN;SOMBRERIAS Y OTROS ACCESORIOS PARA DAMA;288
GOOGLE YOUTUBEPREMIUM;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;289
RENTAMOVISTAR;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;290
ROKU;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;291
RAPPIPRO;AGREGADOR;292
AMAZON PRIME;BIENES DIGITALES APLICACIONES;293
AMAZON;MEDIOS DE COMUNICACION DIGITAL LIBROS PELICULAS MU;294
FARMACIAS SIMILARES;MEDICINAS| MEDICINAS DE PATENTE| FARMACOS DIVERSOS;295
ALSUPER;AGREGADOR;296
AMAZON;DISTRIBUIDORES DE HIELO (FUEGOS ARTIFICIALES)|;297
CRUNCHYROLL;BIENES DIGITALES JUEGOS;298
GOOGLE ONE;TIENDA DE DISCOS;299
GOOGLE YOUTUBE;TIENDA DE DISCOS;300
SHEIN;SERVICIOS RELACIONES PUBLICAS (SERVICIOS CONSULTOR;301
FACEBOOK;AGENCIAS DE VIAJES OPERADORAS DE VIAJES;302
UBER;RESTAURANTES;303
MERCADOPAGO;ACCESORIOS INDUSTRIALES - NO CLASIFICADOS;304
GOOGLE YOUTUBEPREMIUM;SERVICIOS EMPRESARIALES - NO CLASIFICADOS;305
AMAZON;AGREGADOR;306
ALIEXPRESS;AGREGADOR;307
SORIANA;TIENDAS DE CONVENIENCIA| MINISUPER;308
SORIANA;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;309
SORIANA;AUTOBUSES FORANEOS;310
MEGACABLE;MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO;311
GOOGLE ONE;ASESORIAS - COMPRA/VENTA BIENES INMUEBLES;312
DIDI;TRANSPORTE LOCAL URBANO Y SUBURB DE PASAJEROS;313
GOOGLE ONE;PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO;314
CFE;LIMOSINAS| (TAXIS);315
GOOGLE YOUTUBEPREMIUM;GIROS BANCARIOS/POSTALES;316
BET365;AGREGADOR;317
NAYAX;SERVICIO - LAVADO DE AUTOS;318
SHEIN;ROPA CASUAL DAMAS LENCERIA;319
CINEPOLIS;RESTAURANTES;320
HEB;COMIDA RAPIDA;321
UNDOSTRES;JARDINES BOTANICOS(ZOO| SERVICIOS DE ENTREMIENTO);322
UBER EATS;4121;323
CANVA;VENTA DE SOFTWARE PARA COMPUTADORAS;324
MAX;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;325
SPOTIFY;BIENES DIGITALES APLICACIONES;326
SORIANA;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;327
AMAZON PRIME;BIENES DIGITALES JUEGOS;328
GOOGLE ONE;PRODUCCION Y DISTRIBUCION DE PELICULAS Y VIDEOS;329
GOOGLE ONE;RENTA DE VIDEOS  (VIDEOS)|;330
GOOGLE ONE;SERVICIOS DE TRANSPORTE -NO CLASIFICADO;331
GOOGLE ONE;GIROS BANCARIOS/POSTALES;332
GOOGLE;LIBRERIAS;333
GOOGLE;RENTA DE VIDEOS  (VIDEOS)|;334
GOOGLE;ASESORIAS - COMPRA/VENTA BIENES INMUEBLES;335
GOOGLE YOUTUBE;SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG;336
RAPPI;BARES|BEBIDAS ALCOHOLICAS|TABERNAS|DISCOTECAS;337
CANVA;BIENES DIGITALES APLICACIONES;338
SHEIN;SERVICIOS PUBLICITARIOS;339
SHEIN;COMERCIOS ELECTRONICOS (VTAS POR INTERNET);340
SHEIN;ROPA Y ACCESORIOS - MISCELANEOS;341
SHEIN;TIENDA DEPARTAMENTAL;342
UBER EATS;SERVICIOS RELACIONES PUBLICAS (SERVICIOS CONSULTOR;343
AMAZON;VENTAS POR CATALOGO Y/O VENTANILLA MERCADEO DIRECT;344
GOOGLE YOUTUBEPREMIUM;SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS;345
GOOGLE YOUTUBEPREMIUM;COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE;346
RAPPI;COMPAIAS DE - MUDANZAS Y ALMACENAJE |;347
UBER;SERVICIOS PROFESIONALES - NO CLASIFICADOS;348
RAPPI;RESTAURANTES;349
RAPPI;DISTRIBUIDORES DE HIELO (FUEGOS ARTIFICIALES)|;350
RAPPI;MERCADEO DIRECTO - NO CLASIFICADO;351
DIDI;SERV GUBERNAM| AGUA| ELECTRICIDAD|PREDIAL|TENENCIA;352
SHEIN;ZAPATERIAS;353
GOOGLE YOUTUBE;BIENES DIGITALES JUEGOS;354
FARMACIAS DEL AHORRO;ABARROTES| CARNICERIAS| PESCADERIAS| MISCELANEAS|;355
DIDI FOOD;RESTAURANTES;356
SAMS CLUB;AGREGADOR;357
FARMACIAS DEL AHORRO;SERV NO CLASIFICADOS HOTELES| MOTELES|CTROS TURIST;358
COSTCO;MERCADEO DIRECTO - NO CLASIFICADO;359
CINEPOLIS;VIDEO JUEGOS - ESTABLECIMIENTOS;360
UBER;SERVICIOS DE TRANSPORTE -NO CLASIFICADO;361
ROTOPLAS;AGREGADOR;362
SORIANA;BARES|BEBIDAS ALCOHOLICAS|TABERNAS|DISCOTECAS;363
TEMU;ROPA Y ACCESORIOS - MISCELANEOS;364
SEARS;TIENDAS - COSMETICOS  PERFUMERIA;365
URBANI;AGREGADOR;366
GOOGLE YOUTUBE;GIROS BANCARIOS/POSTALES;367
CRUNCHYROLL;DISTRIBUIDORES DE HIELO (FUEGOS ARTIFICIALES)|;368
AMAZON;MERCADEO DIRECTO - NO CLASIFICADO;369
SORIANA;EQUIPOS DE TELECOMUNICACION|VTA DE TELEFONOS;370
