comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-06-22,28,41.15,0.524,17,18.4,Media,0,2
SAMS CLUB,CLUBES DE MAYORISTA,2025-06-22,28,49.89,0.085,8,8.9,Baja,4,19
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-25,31,23.79,0.472,13,4.8,Alta,1,11
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-26,32,10.54,0.757,41,9.3,Baja,2,9
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-06-28,34,16.06,0.729,20,18.9,Alta,3,10
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-06-30,36,30.56,0.472,13,4.8,Alta,1,11
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-30,36,53.1,0.448,21,17.9,Baja,6,3
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-01,37,94.45,0.085,8,8.9,Baja,4,19
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-03,39,14.83,0.829,30,13.4,Alta,1,1
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-05,41,9.08,0.757,41,9.3,Baja,2,9
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-05,41,23.72,0.472,13,4.8,Alta,1,11
SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-08,44,30.41,0.718,14,28.1,Alta,1,22
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-07-09,45,30.8,0.502,10,27.6,Alta,2,17
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-10,46,7.47,0.585,21,18.1,Baja,5,1
TELCEL,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-10,46,16.17,0.571,14,22.1,Alta,5,17
NETFLIX,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,2025-07-10,46,23.9,0.472,13,4.8,Alta,1,11
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-10,46,54.3,0.085,8,8.9,Baja,4,19
HEB,AUTOSERVICIOS Y SUPERMERCADOS,2025-07-11,47,41.46,0.524,17,18.4,Media,0,2
MELIMAS,AGREGADOR,2025-07-13,49,31.57,0.548,9,29.9,Alta,3,5
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-14,50,8.73,0.757,41,9.3,Baja,2,9
MERCADO PAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-15,51,60.17,0.53,10,39.1,Media,0,6
MI ATT,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-16,52,14.15,0.829,30,13.4,Alta,1,1
TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,2025-07-17,53,15.88,0.729,20,18.9,Alta,3,10
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-18,54,35.2,0.448,21,17.9,Baja,6,3
SAMS CLUB,CLUBES DE MAYORISTA,2025-07-19,55,60.38,0.085,8,8.9,Baja,4,19
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-24,60,12.4,0.757,41,9.3,Baja,2,9
