comercio,giro_comercio,fecha_predicha,dias_desde_hoy,monto_esperado,probabilidad,frecuencia_historica,periodicidad_dias,regularidad,dia_semana_comun,dia_mes_comun
APLAZ,AGREGADOR,2025-06-11,17,135.81,0.448,37,4.0,Baja,5,9
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-11,17,22.57,0.434,48,8.1,Baja,0,8
KUESKI PAY,AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS,2025-06-11,17,243.73,0.099,12,15.2,Baja,4,4
TELMEX,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-06-12,18,63.98,0.462,9,35.5,Media,5,5
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-13,19,34.32,0.599,48,8.1,Baja,0,27
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-14,20,40.23,0.699,51,6.9,Media,6,9
UBER,AGREGADOR,2025-06-14,20,12.04,0.46,36,4.1,Media,0,7
DIDI RIDES,AGREGADOR,2025-06-14,20,6.74,0.389,18,7.2,Media,1,10
APLAZ,AGREGADOR,2025-06-15,21,136.97,0.448,37,4.0,Baja,5,9
DIDI RIDES,LIMOSINAS| (TAXIS),2025-06-16,22,16.5,0.901,68,5.6,Media,2,10
KUESKI PAY,ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO,2025-06-17,23,282.14,0.322,15,11.6,Baja,4,31
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-06-18,24,110.63,0.473,33,7.3,Baja,2,15
UBER,AGREGADOR,2025-06-18,24,9.51,0.46,36,4.1,Media,0,7
OXXO,COMIDA RAPIDA,2025-06-18,24,49.85,0.354,14,8.5,Media,0,6
APLAZ,AGREGADOR,2025-06-19,25,124.48,0.448,37,4.0,Baja,5,9
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-19,25,24.68,0.434,48,8.1,Baja,0,8
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-21,27,44.83,0.699,51,6.9,Media,6,9
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-21,27,29.58,0.599,48,8.1,Baja,0,27
DIDI RIDES,AGREGADOR,2025-06-21,27,9.29,0.389,18,7.2,Media,1,10
DIDI RIDES,LIMOSINAS| (TAXIS),2025-06-22,28,15.63,0.901,68,5.6,Media,2,10
UBER,AGREGADOR,2025-06-22,28,16.39,0.46,36,4.1,Media,0,7
SMARTFIT,CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE,2025-06-22,28,83.03,0.445,11,12.7,Alta,4,10
APLAZ,AGREGADOR,2025-06-23,29,125.5,0.448,37,4.0,Baja,5,9
ALLIANZ MEXICO,ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS,2025-06-24,30,286.67,0.765,29,13.8,Alta,1,2
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-06-26,32,87.3,0.473,33,7.3,Baja,2,15
UBER,AGREGADOR,2025-06-26,32,11.88,0.46,36,4.1,Media,0,7
KUESKI PAY,AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS,2025-06-26,32,213.76,0.099,12,15.2,Baja,4,4
DIDI RIDES,LIMOSINAS| (TAXIS),2025-06-27,33,17.91,0.901,68,5.6,Media,2,10
APLAZ,AGREGADOR,2025-06-27,33,106.19,0.448,37,4.0,Baja,5,9
OXXO,COMIDA RAPIDA,2025-06-27,33,53.62,0.354,14,8.5,Media,0,6
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-06-28,34,86.15,0.699,51,6.9,Media,6,9
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-28,34,86.29,0.434,48,8.1,Baja,0,8
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-06-29,35,27.88,0.599,48,8.1,Baja,0,27
DIDI RIDES,AGREGADOR,2025-06-29,35,16.98,0.389,18,7.2,Media,1,10
KUESKI PAY,ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO,2025-06-29,35,322.56,0.322,15,11.6,Baja,4,31
UBER,AGREGADOR,2025-06-30,36,55.05,0.46,36,4.1,Media,0,7
APLAZ,AGREGADOR,2025-07-01,37,126.65,0.448,37,4.0,Baja,5,9
DIDI RIDES,LIMOSINAS| (TAXIS),2025-07-03,39,13.75,0.901,68,5.6,Media,2,10
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-07-03,39,111.49,0.473,33,7.3,Baja,2,15
UBER,AGREGADOR,2025-07-04,40,9.56,0.46,36,4.1,Media,0,7
SMARTFIT,CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE,2025-07-04,40,61.67,0.445,11,12.7,Alta,4,10
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-05,41,32.37,0.699,51,6.9,Media,6,9
OXXO,COMIDA RAPIDA,2025-07-05,41,43.55,0.354,14,8.5,Media,0,6
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-06,42,23.45,0.434,48,8.1,Baja,0,8
DIDI RIDES,AGREGADOR,2025-07-06,42,7.9,0.389,18,7.2,Media,1,10
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-07,43,31.1,0.599,48,8.1,Baja,0,27
DIDI RIDES,LIMOSINAS| (TAXIS),2025-07-08,44,14.27,0.901,68,5.6,Media,2,10
ALLIANZ MEXICO,ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS,2025-07-08,44,285.26,0.765,29,13.8,Alta,1,2
OXXO GAS,ESTACIONES DE SERVICIO| GASOLINERIAS TODO TRANSPOR,2025-07-08,44,46.51,0.489,12,26.6,Media,3,15
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-07-10,46,117.85,0.473,33,7.3,Baja,2,15
KUESKI PAY,ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO,2025-07-11,47,328.31,0.322,15,11.6,Baja,4,31
KUESKI PAY,AUTOFINANCIAMIENTOS - SERVICIOS FINANCIEROS,2025-07-11,47,235.53,0.099,12,15.2,Baja,4,4
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-12,48,32.38,0.699,51,6.9,Media,6,9
DIDI RIDES,AGREGADOR,2025-07-13,49,7.35,0.389,18,7.2,Media,1,10
DIDI RIDES,LIMOSINAS| (TAXIS),2025-07-14,50,14.1,0.901,68,5.6,Media,2,10
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-14,50,13.39,0.434,48,8.1,Baja,0,8
OXXO,COMIDA RAPIDA,2025-07-14,50,49.62,0.354,14,8.5,Media,0,6
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-15,51,31.74,0.599,48,8.1,Baja,0,27
APLAZ,ORDENES DE PAGO| INSTITUCIONES NO FINANCIERAS,2025-07-17,53,141.63,0.473,33,7.3,Baja,2,15
SMARTFIT,CLUBS DEPORTIVOS MEMBRESIAS| CLUB CAMPESTRE,2025-07-17,53,68.44,0.445,11,12.7,Alta,4,10
TELMEX,SERVICIOS DE TELECOMUNICACION| LLAMADAS LOC Y LARG,2025-07-18,54,65.81,0.462,9,35.5,Media,5,5
AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),2025-07-19,55,38.89,0.699,51,6.9,Media,6,9
DIDI RIDES,LIMOSINAS| (TAXIS),2025-07-20,56,13.98,0.901,68,5.6,Media,2,10
DIDI RIDES,AGREGADOR,2025-07-20,56,9.54,0.389,18,7.2,Media,1,10
ALLIANZ MEXICO,ASEGURADORAS - VENTAS DE SEGUROS| POLIZAS,2025-07-21,57,283.52,0.765,29,13.8,Alta,1,2
OXXO,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-22,58,16.99,0.434,48,8.1,Baja,0,8
KUESKI PAY,ASESOR FINANCIERO|CONSEJEROS| MATRIMONIAL|PRESTAMO,2025-07-22,58,272.15,0.322,15,11.6,Baja,4,31
7 ELEVEN,TIENDAS DE CONVENIENCIA| MINISUPER,2025-07-23,59,42.67,0.599,48,8.1,Baja,0,27
OXXO,COMIDA RAPIDA,2025-07-23,59,46.29,0.354,14,8.5,Media,0,6
